geneid,term,,,,,,,,,,,,
TcCLB.506925.460,nucleus,,,,,,,,,,,,
TcCLB.508479.240,nucleus,,,,,,,,,,,,
TcCLB.511577.160,nucleus,,,,,,,,,,,,
TcCLB.511127.330,nucleus,,,,,,,,,,,,
C4B63_14g70,cortical cytoskeleton,,,,,,,,,,,,
Tb927.8.2030,cortical cytoskeleton,,,,,,,,,,,,
Tb927.9.11540,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.17000,cortical cytoskeleton,,,,,,,,,,,,
Tb927.9.11540,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.4280,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.11980,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.13010,cortical cytoskeleton,,,,,,,,,,,,
Tb927.10.3780,cortical cytoskeleton,,,,,,,,,,,,
Tb927.10.12600,cortical cytoskeleton,,,,,,,,,,,,
Tb927.7.3450,cortical cytoskeleton,,,,,,,,,,,,
Tb927.7.2650,cortical cytoskeleton,,,,,,,,,,,,
Tb927.2.4280,cortical cytoskeleton,,,,,,,,,,,,
Tb927.10.8940,cortical cytoskeleton,,,,,,,,,,,,
Tb927.1.3310,cortical cytoskeleton,,,,,,,,,,,,
Tb927.7.3440,cortical cytoskeleton,,,,,,,,,,,,
Tb927.4.3950,cortical cytoskeleton,,,,,,,,,,,,
Tb927.7.6720,cortical cytoskeleton,,,,,,,,,,,,
Tb927.8.2630,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.720,cortical cytoskeleton,,,,,,,,,,,,
Tb927.10.2040,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.6810,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.16200,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.13270,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.11140,cortical cytoskeleton,,,,,,,,,,,,
Tb927.10.7130,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.15140,cortical cytoskeleton,,,,,,,,,,,,
Tb927.7.7100,cortical cytoskeleton,,,,,,,,,,,,
Tb927.7.6790,cortical cytoskeleton,,,,,,,,,,,,
Tb927.9.10790,cortical cytoskeleton,,,,,,,,,,,,
Tb927.8.2030,cortical cytoskeleton,,,,,,,,,,,,
Tb927.3.3170,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.3330,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.1840,cortical cytoskeleton,,,,,,,,,,,,
Tb927.5.2990,cortical cytoskeleton,,,,,,,,,,,,
Tb927.5.2500,cortical cytoskeleton,,,,,,,,,,,,
Tb927.3.1010,cortical cytoskeleton,,,,,,,,,,,,
Tb927.7.3550,cortical cytoskeleton,,,,,,,,,,,,
Tb927.6.5070,cortical cytoskeleton,,,,,,,,,,,,
Tb927.11.17000,cortical cytoskeleton,,,,,,,,,,,,
Tb927.10.15760,cortical cytoskeleton,,,,,,,,,,,,
C4B63_51g114,cortical cytoskeleton,,,,,,,,,,,,
C4B63_20g219,kinetoplast,,,,,,,,,,,,
C4B63_14g220c,kinetoplast,,,,,,,,,,,,
C4B63_14g62,kinetoplast,,,,,,,,,,,,
C4B63_113g62,kinetoplast,,,,,,,,,,,,
C4B63_208g37,kinetoplast,,,,,,,,,,,,
C4B63_208g37,kinetoplast,,,,,,,,,,,,
C4B63_308g1,kinetoplast,,,,,,,,,,,,
C4B63_308g2,kinetoplast,,,,,,,,,,,,
C4B63_109g39,kinetoplast,,,,,,,,,,,,
C4B63_34g120,kinetoplast,,,,,,,,,,,,
C4B63_17g103,kinetoplast,,,,,,,,,,,,
C4B63_10g100,mitochondrion,,,,,,,,,,,,
TcCLB.503893.120,mitochondrion,,,,,,,,,,,,
TcCLB.416883.9,mitochondrion,,,,,,,,,,,,
TcCLB.506181.97,mitochondrion,,,,,,,,,,,,
TcCLB.511367.330,mitochondrion,,,,,,,,,,,,
C4B63_32g52,mitochondrion,,,,,,,,,,,,
C4B63_348g22,mitochondrion,,,,,,,,,,,,
C4B63_259g10,mitochondrion,,,,,,,,,,,,
C4B63_26g264,mitochondrion,,,,,,,,,,,,
C4B63_134g62,mitochondrion,,,,,,,,,,,,
C4B63_35g157,mitochondrion,,,,,,,,,,,,
C4B63_42g78,mitochondrion,,,,,,,,,,,,
